DESCRIPTIVE STATISTICS,,
,RAW,Proportion
NUMBER OF CANDIDATES,166,
NUMBER OF ITEMS,53,
NUMBER OF CANDIDATES,166,
Min Score,30.0,63%
Max Score,46.0,96%
Mean Correct,39.97,83%
Variance,8.57,
Standard Deviation,2.93,
Standard Error of Measurement,2.04,
Reliability Estimate,0.513,
Pass Score,36,75%
Pass Rate,140,84%



ITEM STATISTICS
Item ID,Correct Answer,Difficulty,Point Biserial Discrimination,Mode Choice,Count,,Option Count,,,,,,Item Variance
,,,,,,,1,2,3,4,5,6,4.171251270140802
HOMER_QUIZ_1036756,1,79%,0.2469,1,166,,131,5,8,11,11,0,0.166
HOMER_QUIZ_1036757,3,80%,0.2114,3,166,,2,4,133,27,0,0,0.159
HOMER_QUIZ_1036758,4,99%,0.1587,4,166,,0,0,1,165,0,0,0.006
HOMER_QUIZ_1036759,4,100%,0.0000,4,166,,0,0,0,166,0,0,0.000
HOMER_QUIZ_1036760,1,17%,0.1619,3,166,,29,6,129,2,0,0,0.144
HOMER_QUIZ_1036761,5,93%,0.2355,5,166,,4,8,0,0,154,0,0.067
HOMER_QUIZ_1036762,3,73%,0.1928,3,166,,0,38,121,5,2,0,0.198
HOMER_QUIZ_1036763,1,90%,0.1798,1,166,,149,8,2,0,7,0,0.092
HOMER_QUIZ_1036764,2,77%,0.4020,2,166,,0,127,36,1,2,0,0.180
HOMER_QUIZ_1036765,2,85%,0.2833,2,166,,22,141,0,3,0,0,0.128
HOMER_QUIZ_1036766,1,84%,0.3409,1,166,,140,0,1,25,0,0,0.132
HOMER_QUIZ_1036767,3,90%,0.1431,3,166,,2,7,150,7,0,0,0.087
HOMER_QUIZ_1036768,5,80%,0.3211,5,166,,8,23,3,0,132,0,0.163
HOMER_QUIZ_1036770,1,99%,0.1875,1,166,,164,1,0,0,1,0,0.012
HOMER_QUIZ_1036771,3,99%,0.2063,3,166,,0,2,164,0,0,0,0.012
HOMER_QUIZ_1036772,5,85%,0.2661,5,166,,0,0,22,3,141,0,0.128
HOMER_QUIZ_1036773,4,16%,0.1007,3,166,,8,48,79,26,5,0,0.132
HOMER_QUIZ_1036774,3,100%,0.0000,3,166,,0,0,166,0,0,0,0.000
HOMER_QUIZ_1036775,4,80%,0.2888,4,166,,0,8,25,133,0,0,0.159
HOMER_QUIZ_1036776,3,84%,0.2575,3,166,,0,1,139,3,23,0,0.136
HOMER_QUIZ_1036777,4,99%,0.1875,4,166,,0,0,2,164,0,0,0.012
HOMER_QUIZ_1036778,2,99%,0.2119,2,166,,1,165,0,0,0,0,0.006
HOMER_QUIZ_1036779,2,89%,0.2354,2,166,,18,147,0,1,0,0,0.101
HOMER_QUIZ_1036780,1,90%,0.2476,1,166,,149,13,2,2,0,0,0.092
HOMER_QUIZ_1036781,4,99%,0.0932,4,166,,0,0,1,164,1,0,0.012
HOMER_QUIZ_1036782,4,97%,0.1306,4,166,,3,1,0,161,1,0,0.029
HOMER_QUIZ_1036783,3,93%,0.2037,3,166,,5,6,154,0,1,0,0.067
HOMER_QUIZ_1036784,2,95%,0.2090,2,166,,3,158,3,2,0,0,0.046
HOMER_QUIZ_1036785,2,80%,0.1426,2,166,,34,132,0,0,0,0,0.163
HOMER_QUIZ_1036786,2,100%,0.0000,2,166,,0,166,0,0,0,0,0.000
HOMER_QUIZ_1036787,4,86%,0.2520,4,166,,9,1,3,143,10,0,0.119
HOMER_QUIZ_1036788,4,69%,0.2518,4,166,,16,0,0,115,35,0,0.213
HOMER_QUIZ_1036789,3,96%,0.1514,3,166,,3,0,159,0,4,0,0.040
HOMER_QUIZ_1036790,4,99%,0.1497,4,166,,0,0,2,164,0,0,0.012
HOMER_QUIZ_1036791,3,97%,0.2630,3,166,,1,1,161,0,3,0,0.029
HOMER_QUIZ_1036792,5,19%,0.1739,3,166,,39,36,45,15,31,0,0.152
HOMER_QUIZ_1036793,3,7%,0.0606,1,166,,142,2,11,1,10,0,0.062
HOMER_QUIZ_1036794,4,99%,-0.0008,4,166,,1,0,0,165,0,0,0.006
HOMER_QUIZ_1036795,2,96%,0.2185,2,166,,1,160,4,1,0,0,0.035
HOMER_QUIZ_1036796,3,50%,0.4136,3,166,,40,21,83,17,5,0,0.250
HOMER_QUIZ_1036797,2,98%,0.1994,2,166,,3,163,0,0,0,0,0.018
HOMER_QUIZ_1036803,1,88%,0.2554,1,166,,146,1,10,0,9,0,0.106
HOMER_QUIZ_1036804,3,94%,0.1876,3,166,,1,5,156,0,4,0,0.057
HOMER_QUIZ_1036805,5,90%,-0.0238,5,166,,1,0,0,16,149,0,0.092
HOMER_QUIZ_1036915,2,0%,N/A,0,0,,0,0,0,0,0,0,0.000
HOMER_QUIZ_1036916,2,0%,N/A,0,0,,0,0,0,0,0,0,0.000
HOMER_QUIZ_1036917,4,0%,N/A,0,0,,0,0,0,0,0,0,0.000
HOMER_QUIZ_1036918,3,0%,N/A,0,0,,0,0,0,0,0,0,0.000
HOMER_QUIZ_1036798,6,85%,0.3869,6,166,,9,2,11,1,2,141,0.128
HOMER_QUIZ_1036799,2,89%,N/A,2,166,,15,148,3,0,0,0,0.000
HOMER_QUIZ_1036800,3,96%,0.1854,3,166,,0,0,160,0,1,5,0.035
HOMER_QUIZ_1036801,4,90%,0.3592,4,166,,14,2,0,150,0,0,0.087
HOMER_QUIZ_1036802,5,89%,0.2807,5,166,,9,1,1,1,147,7,0.101
