MED540 Comprehensive Exam Part 2 - C2014 - 20140416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw MCQ data for group: Class of 2014 Med (2450|4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Question Identifier,Category,Question Type,Correct Response,Weight,Response Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Identifiers, , , , ,2666,2685,3926,4069,4425,4440,4456,4466,4551,4625,4642,4968,4969,4971,4972,4973,4974,4975,4976,4978,4979,4980,4981,4982,4983,4984,4985,4986,4987,4988,4989,4991,4992,4993,4994,4995,4996,4997,4998,4999,5000,5002,5003,5004,5005,5007,5008,5010,5012,5017,5021,5024,5026,5027,5028,5029,5031,5035,5036,5037,5038,5039,5041,5042,5043,5044,5045,5046,5047,5048,5050,5051,5052,5053,5054,5056,5057,5058,5060,5061,5063,5065,5068,5069,5071,5072,5073,5074,5077,5078,5079,5080,5081,5082,5083,5084,5085,5087,5088,5089,5090,5091,5092,5093,5094,5095,5096,5102,5104,5105,5107,5108,5109,5112,5114,5116,5117,5120,5121,5122,5123,5124,5125,5126,5127,5129,5130,5133,5134,5135,5136,5137,5138,5139,5140,5141,5142,5143,5146,5147,5148,5149,5150,5150,5151,5152,5153,5155,5156,5157,5158,5159,5160,5161,5162,5163,5164,5165,5167,5172,5176,5179,5180,5181,5182,5184,5185,5193,5195,5198,6239,6804
HOMER_QUIZ_1050240,,MULTICHOICE,3,1,2,3,4,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,4,4,3,4,4,3,3,4,3,4,3,3,3,4,4,4,3,3,3,4,3,3,4,3,3,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,3,4,4,3,4,3,3,3,3,4,3,3,2,3,3,4,3,4,4,4,3,3,3,3,4,3,3,4,3,4,3,4,4,4,3,3,3,3,3,4,3,4,3,4,3,4,3,3,4,3,3,4,4,3,3,4,3,4,4,3,3,4,3,4,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,4,3
HOMER_QUIZ_1050241,,MULTICHOICE,3,1,3,3,1,1,3,3,1,1,3,3,3,1,3,3,3,1,3,3,3,3,1,3,3,3,3,3,1,3,3,1,3,1,1,1,1,1,3,3,1,4,3,1,1,1,3,3,3,3,4,1,3,3,1,1,3,1,1,3,3,3,3,2,1,1,3,3,3,1,3,3,3,2,3,2,1,3,3,3,1,3,2,3,3,3,1,3,3,3,1,1,3,3,3,1,1,1,3,3,1,3,1,3,1,1,1,1,1,1,3,3,3,1,2,1,1,1,1,3,1,3,3,3,4,1,3,1,1,3,3,3,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,3,3,3,1,3,4,1,3,1,3,3,1,3,3,3,1,1,3,3,1,1,3,3,3,3,1,3
HOMER_QUIZ_1050242,,MULTICHOICE,3,1,1,2,3,1,1,3,3,3,3,3,3,3,3,3,1,3,4,3,1,1,3,1,3,3,4,3,3,1,3,4,3,3,4,1,3,3,3,1,3,3,3,3,3,3,3,4,1,1,3,1,3,4,4,1,1,1,4,4,3,2,3,3,3,3,3,4,3,3,3,3,3,4,3,1,1,3,4,4,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3,3,2,3,3,3,1,3,2,1,3,1,3,3,1,3,3,1,3,3,1,1,4,3,3,3,1,1,1,2,3,3,3,4,3,4,1,3,3,3,1,3,3,1,4,3,3,3,3,3,3,3,4,3,1,3,3,1,3,1,3,1,2,4,3,1,3,3,3,3,3,3,3,1,3,3,2,3,4,3
HOMER_QUIZ_1050243,,MULTICHOICE,1,1,1,1,3,1,1,2,1,1,1,3,1,1,3,1,3,3,1,1,1,1,1,1,3,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3,1,1,2,1,1,1,3,1,1,1,1,3,1,1,3,1,1,1,1,1,3,1,1,1,1,1,3,1,3,1,1,2,1,1,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HOMER_QUIZ_1050244,,MULTICHOICE,2,1,2,4,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,4,4,2,2,3,2,2,2,2,2,1,1,2,4,2,2,2,2,2,2,2,1,2,1,2,2,2,2,4,2,2,4,2,2,4,2,2,2,2,4,4,2,2,2,2,2,2,1,1,1,2,2,2,2,4,2,4,2,4,2,3,2,3,2,2,1,2,2,2,2,2,2,2,2,2,4,2,2,2,4,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,1,2,1,4,2,2,2,2,4,2,2,2,2,2,4,3,2,2,2,2,4,2,2,2,4,2,2,2,1,2,2,2,4,4,2,2
HOMER_QUIZ_1050245,,MULTICHOICE,3,1,1,2,4,4,4,3,2,1,4,3,1,1,1,2,1,1,4,3,4,1,2,4,3,1,4,1,2,3,2,2,3,2,1,4,2,4,1,4,1,3,3,1,2,2,4,1,4,4,2,2,4,1,4,2,2,2,4,4,1,4,3,3,2,1,1,4,3,4,3,3,4,1,2,4,3,2,3,4,4,1,2,4,1,2,1,2,1,2,4,2,4,1,4,2,4,4,4,2,4,1,3,4,3,2,1,3,1,2,2,1,3,3,3,2,2,3,4,3,2,4,3,4,2,2,1,4,4,3,1,4,4,2,3,4,2,4,4,2,4,1,4,4,1,1,4,4,4,2,2,2,2,4,2,1,1,2,2,1,3,4,4,2,2,3,1,3,4,4,4,3,2,4
HOMER_QUIZ_1050246,,MULTICHOICE,1,1,1,1,3,4,3,1,1,4,1,3,3,4,3,3,1,1,3,1,4,3,1,1,1,3,3,3,1,3,1,1,4,1,1,1,4,3,1,1,4,3,1,3,3,1,1,3,3,3,4,4,4,1,1,1,3,4,4,1,1,3,4,1,1,1,3,1,1,4,1,3,4,1,3,1,1,4,3,3,4,1,3,1,1,4,1,3,3,1,3,3,4,3,1,1,3,1,1,3,1,1,1,4,1,1,3,3,3,3,1,3,3,1,3,1,3,4,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,4,1,3,3,1,1,4,1,4,1,3,3,4,4,4,1,1,1,3,4,3,3,1,1,4,3,3,1,1,1,3,3
HOMER_QUIZ_1050247,,MULTICHOICE,1,1,3,1,1,2,1,3,1,3,3,1,1,1,3,1,3,3,1,1,3,3,1,1,1,1,3,3,1,3,1,3,1,1,4,1,1,1,3,1,3,3,1,3,3,1,1,1,1,1,3,3,1,3,1,3,1,1,1,1,3,3,3,1,3,3,3,3,1,1,1,3,3,3,1,1,3,1,3,1,1,1,1,1,3,1,1,3,2,1,3,1,3,3,1,3,1,1,3,3,3,3,1,2,3,1,1,3,1,1,3,1,1,1,3,3,3,3,3,1,1,1,1,1,3,3,1,3,3,1,1,1,3,3,3,3,1,3,3,1,3,3,1,3,3,3,3,1,3,1,3,1,1,3,3,3,1,4,3,1,3,3,1,3,1,1,3,3,3,1,3,1,3,1
HOMER_QUIZ_1050248,,MULTICHOICE,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,2,1
